Song UUID,Thumbnail,Width,Height,Video ID,Issues
cef0e5e2-e26f-4ee1-881b-368089a25efe,present,226,226,6GQoN9mmkes,low-res
477ac471-274d-4283-b17a-c98aab236121,present,120,90,w5tXdHjjVaI,low-res
47339007-03ab-4883-962a-382109f96786,present,226,226,XL99wOyTkgY,low-res
279df80f-5091-46b7-a479-4a75952c84fd,present,226,226,wTEyTw-_yVQ,low-res
20cd0ea3-d6c3-4f7b-95d2-56f17aebec31,present,120,90,z1237BOLkaM,low-res
c4fe5ad5-765f-4d07-8e5b-4b0258b9493d,present,226,226,P9iAgtnefQQ,low-res
af78ed84-ea0b-4b4c-a77b-aba2ae11a127,present,226,226,TTyqhaZkH7g,low-res
85c5cc7a-95c3-402d-9ae0-9bd0acee4b34,present,1280,720,X7bHe--mp1g,
ed4a60dd-a1db-47f0-97e7-9b3394047c56,present,226,226,mFXP01lPQxA,low-res
fad9b725-2744-43fb-8212-021908a7a284,present,120,90,KREIzMtAT6Q,low-res
287f2dda-ca67-46cb-9354-2ec06c8b4b3e,present,226,226,U6PSsSM1swQ,low-res
a7f59de8-2263-4249-a1a1-795125cbe363,present,168,94,KeTJWxB2eF4,low-res
a288febf-55ca-4bec-ac20-1eff1cf8496d,present,1280,720,xaFoxmSDnv8,
8fb4d482-3483-43cb-bb6e-761696bd3c2f,present,1280,720,pD9KOw8uFis,
27945f74-ae18-438d-b6e3-729de724d736,present,226,226,vaIXj2VQHK0,low-res
ad72adeb-6082-4110-b730-4b4e4a73aeae,present,1280,720,zk62uUqcNyo,
ec61ac0e-c876-447c-ba3d-592f19b8abfd,present,120,90,lX3uCuFKlqw,low-res
62d2f9fe-542c-431a-a8b7-aca09a654a76,present,120,90,G23iLGhh9lo,low-res
df5cfc2d-8022-497b-955f-0f4d779ddc8c,present,1280,720,ee2vJmxR5ck,
6bc187eb-f55d-4e02-ae17-34f49d234fbc,present,120,90,18UcogYAgI0,low-res
fe215068-f865-4853-995e-fb63edeb6166,present,1280,720,t2mOCZq0yuU,
1fa3e4e6-36c1-483d-8c20-c108ebfa9afd,present,1280,720,KZCGhO3t0DA,
68d201b9-ce9b-4d85-b87a-80f16e4f068a,present,120,90,Kr-uzvTBAlY,low-res
2b324ebd-2162-4d0d-a6b3-491817127b6b,present,120,90,BcLclavRkOg,low-res
1c0c1376-eb16-46e0-b06d-104e02183426,present,226,226,Bk7vwjQcxnA,low-res
173e4e31-81dc-4b2e-95a0-f0e04acab51e,present,120,90,tpv261r01Eg,low-res
07c68718-229a-499c-9048-82ac62327441,present,120,90,b_-6jYb8exs,low-res
b57f692e-5446-45f9-9044-95790bd3be96,present,120,90,fQuC32gH8Rw,low-res
2942cb80-b60c-4184-834e-177eec603128,present,120,90,S5UDmQWZ09k,low-res
16672b98-569b-410c-bd37-3619c697968e,present,120,90,ZEvi_wY53Zo,low-res
443c5767-4cc1-431c-9847-d85cf646706d,present,120,90,Qsms8-lwCOI,low-res
a11b23c4-7cf6-4f5e-a4a0-5091d13db50c,present,120,90,uhx8NjSsdY0,low-res
d30bccce-e20e-4aaf-8245-cfe42716e5fc,present,120,90,CyeeZFWC7t4,low-res
70d084b3-937a-4be0-a566-bc36a69ad3bd,present,226,226,LTonBbQJCU4,low-res
84f23c48-a260-4ed3-b300-08d1e9a0e56e,present,226,226,y8OtzJtp-EM,low-res
f0d6f861-bd7f-42fb-a910-8237dc940c7e,present,226,226,7SM5laxokpg,low-res
3cea7dbd-1e62-4206-8a45-91a196ed20ca,present,1280,720,-1WHVPMDweg,
5deee460-a352-46f1-a9b2-0db7f4d2feeb,present,226,226,4OunL333kOQ,low-res
cbf2ebbc-4080-4e2f-a7ef-af7d602ed799,present,226,226,WMojzYHGUcw,low-res
bfda8cf4-ae7d-41db-9c06-77ef89156f8f,present,120,90,ktjYcMyW9H0,low-res
56c0115c-adee-49ec-b336-d808debaeaae,present,1280,720,gN0CmyQ0Eag,
63f39a67-dcdc-442a-9e0d-6768c0c9e84a,present,1280,720,Mr5emjVn_8Q,
9c99fb9f-7c3d-4469-9452-e203c68f4012,present,120,90,reNWJMZtvU0,low-res
fd113c6f-438b-4e59-a189-aa6babbb5879,present,120,90,Ak7BQaaizlM,low-res
4f2a41f3-8654-411a-ae42-668869059f63,present,120,90,TdD0kGABmAY,low-res
